frame_index,cpu_eager_bs1_state,cpu_eager_bs1_row_count,cpu_optimized_bs1_state,cpu_optimized_bs1_row_count,cuda_eager_bs1_state,cuda_eager_bs1_row_count,cuda_eager_bs32_state,cuda_eager_bs32_row_count,cuda_no_tf32_eager_bs1_state,cuda_no_tf32_eager_bs1_row_count,cuda_no_tf32_eager_bs32_state,cuda_no_tf32_eager_bs32_row_count,cpu_eager_bs1__cpu_optimized_bs1_max_probability_abs_diff,cpu_eager_bs1__cuda_eager_bs1_max_probability_abs_diff,cuda_eager_bs1__cuda_eager_bs32_max_probability_abs_diff,cpu_optimized_bs1__cuda_eager_bs32_max_probability_abs_diff,cpu_eager_bs1__cuda_no_tf32_eager_bs1_max_probability_abs_diff,cuda_eager_bs1__cuda_no_tf32_eager_bs1_max_probability_abs_diff,cpu_eager_bs1__cuda_no_tf32_eager_bs32_max_probability_abs_diff,cuda_no_tf32_eager_bs1__cuda_no_tf32_eager_bs32_max_probability_abs_diff,cpu_optimized_bs1__cuda_no_tf32_eager_bs32_max_probability_abs_diff,cuda_eager_bs32__cuda_no_tf32_eager_bs32_max_probability_abs_diff
65,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,5.27501106262207e-06,0.0027601122856140137,0.004337519407272339,0.002084493637084961,4.678964614868164e-06,0.002758324146270752,1.3232231140136719e-05,1.239776611328125e-05,1.150369644165039e-05,0.002087533473968506
66,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,2.8312206268310547e-06,0.004389137029647827,0.004387587308883667,0.0024095475673675537,5.5730342864990234e-06,0.0043891966342926025,9.238719940185547e-06,8.58306884765625e-06,9.566545486450195e-06,0.0024132728576660156
67,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,4.410743713378906e-06,0.0034963488578796387,0.005354255437850952,0.002978116273880005,4.6193599700927734e-06,0.003497987985610962,8.821487426757812e-06,7.808208465576172e-06,1.1488795280456543e-05,0.002980470657348633
68,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,3.039836883544922e-06,0.0027163028717041016,0.0031062960624694824,0.002125352621078491,5.304813385009766e-06,0.00271528959274292,1.2814998626708984e-05,1.2814998626708984e-05,1.1146068572998047e-05,0.002126634120941162
69,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,4.827976226806641e-06,0.0024209916591644287,0.003436654806137085,0.0024368464946746826,7.539987564086914e-06,0.002416074275970459,1.2934207916259766e-05,1.1980533599853516e-05,1.2129545211791992e-05,0.0024314820766448975
70,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,2.2649765014648438e-06,0.0037669837474823,0.0032911300659179688,0.0032376348972320557,4.0531158447265625e-06,0.0037667155265808105,8.106231689453125e-06,8.463859558105469e-06,6.9141387939453125e-06,0.003233969211578369
71,degraded,3,degraded,3,degraded,3,degraded,3,degraded,3,degraded,3,2.384185791015625e-06,0.004477083683013916,0.006017714738845825,0.003298848867416382,3.6954879760742188e-06,0.004477441310882568,1.0013580322265625e-05,8.702278137207031e-06,1.1742115020751953e-05,0.003289550542831421
72,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,3.4570693969726562e-06,0.0028986334800720215,0.004321008920669556,0.003307253122329712,3.337860107421875e-06,0.002898693084716797,7.808208465576172e-06,8.016824722290039e-06,1.1026859283447266e-05,0.0033032894134521484
73,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,4.887580871582031e-06,0.003609955310821533,0.0032256245613098145,0.0022285282611846924,7.063150405883789e-06,0.0036108791828155518,1.0281801223754883e-05,7.659196853637695e-06,1.1146068572998047e-05,0.0022329390048980713
74,degraded,3,degraded,3,degraded,3,degraded,3,degraded,3,degraded,3,3.933906555175781e-06,0.00441017746925354,0.0037067532539367676,0.0025888681411743164,4.738569259643555e-06,0.004411041736602783,9.953975677490234e-06,7.957220077514648e-06,1.049041748046875e-05,0.002589970827102661
75,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,5.185604095458984e-06,0.0042078495025634766,0.005793273448944092,0.004027634859085083,4.0531158447265625e-06,0.004207640886306763,6.854534149169922e-06,7.271766662597656e-06,9.08970832824707e-06,0.004021048545837402
76,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,5.334615707397461e-06,0.006958484649658203,0.007456153631210327,0.0030656158924102783,4.887580871582031e-06,0.006954848766326904,1.1563301086425781e-05,9.47713851928711e-06,1.3560056686401367e-05,0.0030674636363983154
77,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,3.874301910400391e-06,0.002985656261444092,0.003685176372528076,0.002454102039337158,2.9802322387695312e-06,0.0029855966567993164,8.13603401184082e-06,8.016824722290039e-06,1.1265277862548828e-05,0.0024507641792297363
78,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,5.245208740234375e-06,0.006365597248077393,0.00551372766494751,0.0029378533363342285,6.109476089477539e-06,0.0063675642013549805,8.612871170043945e-06,8.016824722290039e-06,7.510185241699219e-06,0.0029367804527282715
79,degraded,3,degraded,3,degraded,3,degraded,3,degraded,3,degraded,3,6.377696990966797e-06,0.003631293773651123,0.004658043384552002,0.003469139337539673,5.334615707397461e-06,0.0036311745643615723,9.834766387939453e-06,7.18235969543457e-06,9.328126907348633e-06,0.0034773051738739014
80,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,5.453824996948242e-06,0.004686713218688965,0.004015862941741943,0.002144336700439453,5.245208740234375e-06,0.004684567451477051,7.212162017822266e-06,8.64267349243164e-06,8.52346420288086e-06,0.0021399855613708496
81,degraded,4,degraded,4,degraded,4,valid,4,degraded,4,degraded,4,3.4868717193603516e-06,0.0034272968769073486,0.005453437566757202,0.003061622381210327,4.887580871582031e-06,0.003428518772125244,7.092952728271484e-06,8.225440979003906e-06,6.556510925292969e-06,0.0030646026134490967
82,degraded,3,degraded,3,degraded,3,valid,3,degraded,3,degraded,3,3.6954879760742188e-06,0.0069169700145721436,0.004013478755950928,0.004376322031021118,5.751848220825195e-06,0.006911665201187134,1.4454126358032227e-05,9.745359420776367e-06,1.4901161193847656e-05,0.00437811017036438
83,degraded,4,degraded,4,degraded,4,valid,4,degraded,4,degraded,4,4.708766937255859e-06,0.0029964447021484375,0.003717482089996338,0.004040241241455078,6.735324859619141e-06,0.003000020980834961,9.775161743164062e-06,1.1563301086425781e-05,9.98377799987793e-06,0.004032552242279053
